label,Sentimental Analysis,text,,,,
1,neural,"− Scope 3: Optional scope that includes indirect emissions associated with the goods and services supply chain produced outside the organization. Included are emissions from the transport of products from our logistics centres to stores (downstream) performed by external logistics operators (air, land and sea transport) as well as the emissions associated with electricity consumption in franchise stores.",,,,
0,risk,"The Group is not aware of any noise pollution that could negatively impact the environment, nor is it aware of any impact on biodiversity. With regards to land use, the Group is only a commercial user, and the Group is not aware of any local constraints with regards to water supply. The Group does not believe that it is at risk with regards to climate change in the near-or mid-term.",,,,
0,risk,"Global climate change could exacerbate certain of the threats facing our business, including the frequency and severity of weather-related events referred to in Performance of critical infrastructure in this section 9. In addition, increases in energy prices are partly influenced by government policies to address climate change which, combined with a growing data demand that increases our energy requirements, could increase our energy costs beyond our current expectations.",,,,
0,risk,"Setting an investment horizon is part and parcel of our policy of focusing on the long term and helping clients to build capital. Both financial and non-financial aspects play a role in measuring investment returns. Even if we make a successful investment in a mining company today, the same company may nonetheless cause damage to the environment tomorrow, and thus be compelled to make substantial provisions for improving its waste-processing activities and paying fines. As an asset manager that focuses on the long-term prospects, we can’t ignore the non-financial aspects.",,,,
0,risk,"Climate change the physical impacts of climate change on our operations are uncertain and particular to geographic circumstances. in addition, a number of national governments have already introduced or are contemplating the introduction of regulatory responses to greenhouse gas emissions from the combustion of fossil fuels to address the impacts of climate change. these physical effects and regulatory responses may adversely impact the productivity and financial performance of our operations.",,,,
0,risk,"Projects with potential limited adverse social or environmental impacts that are few in number, generally site specific, largely reversible and readily addressed through mitigation measures. Issues relating to these risks may lead to fines, penalties or legal non-compliance and reputational damage. Examples could include increased use of energy or increased atmospheric emissions.",,,,
1,neural,"We emitted 13.4 million tonnes CO2 of Scope 2 (indirect emissions), being emissions arising from our consumption of purchased electricity, steam or heat. Our Scope 3 emissions include emissions from a broad range of sources, including shipping and land transportation. More details on our Scope 3 emissions will be available in our 2014",,,,
1,neural,"We do not provide normalised figures for our CO2 emissions nor ratios of CO2 to production, financial results or employee headcount, as we do not believe that reporting a normalised figure meaningfully contributes to an understanding of our performance. The scope and diversity of our products make a single production figure impossible to calculate and our financial results are impacted by commodity prices and foreign exchange rates, which are outside of our control. In addition, due to the nature of the exploration, development and the production cycle, our CO2 emissions do not necessarily correlate to our employee headcount.",,,,
0,risk,"We anticipate that the potential effects of climate change may impact the decisions and analysis the employees in our Real Estate businesses make with respect to the properties they evaluate or manage on behalf of clients since climate change considerations may impact the relative desirability of locations and the cost of operating and insuring the properties. Future legislation that requires specific performance levels for building operations could make non-compliant buildings more expensive, which could materially affect investments in properties we have made on behalf of clients.",,,,
0,risk,"Enhancing our responsible screening criteria Negative screening is used by institutional investors to exclude or to limit certain types of investments usually based on a set of defined industry criteria. Responsible investment screening can also include evaluation and identification of companies which are managing their ESG issues poorly, which in turn may coincide with the loss of shareholder value.",,,,
1,neural,"Offsetting our emissions Australian Ethical offsets emissions by purchasing carbon credits in worthwhile projects. Emissions of 149.5 tCO2-e will be offset during FY15. Total emissions calculated include greenhouse gases emissions from energy and from travel. Projects that our carbon offset credits will assist are ‘Cookstove’ projects in Mali and Cambodia. The projects replace high polluting traditional cookstoves with fuel efficient stoves. Large volumes of wood and charcoal are required for the traditional cookstoves, which contribute to CO2 emissions from burning these fuels, but also increased desertification. The traditional stoves also contribute to indoor air pollution, which is linked to respiratory and eye diseases.",,,,
0,risk,"Fundamental shifts in the industry, like the transition from traditional lighting to LED lighting, may drastically change the business environment. If Philips is unable to recognize these changes in good time, is late in adjusting its business models, or if circumstances arise such as pricing actions by competitors, then this could have a material adverse effect on Philips’ growth ambitions, financial condition and operating result.",,,,
0,risk,"Philips’ supply chain is exposed to fluctuations in energy and raw material prices. Commodities such as oil are subject to volatile markets and significant price increases from time to time. If Philips is not able to compensate for, or pass on, its increased costs to customers, such price increases could have an adverse impact on its financial condition and operating results.",,,,
0,risk,"The Fund is working to identify governance issues in its underlying investment holding companies which could damage its long-term financial interests. The risk analysis is based upon the following potential adverse impacts on a company’s: i) Reputation. ii) Falling short of its peers on social, environmental or ethical trends. iii) Slow in responding to social changes and trends. iv) Falling short of its peers on meeting reporting standards. v) Comparatively weak board structure in terms of make-up, expertise, independence.",,,,
1,neural,"– Omissions Emissions associated with joint ventures and investments are not included in the emissions disclosure as they fall outside the scope of our operational boundary. We do not have any emissions associated with heat, steam or cooling. We are not aware of any other material sources of omissions from our emissions reporting.",,,,
0,risk,"Concerns regarding global climate change may result in more international, regional and/or federal requirements to reduce or mitigate global warming and these regulations could mandate even more restrictive standards than the voluntary commitments that we have made or require such changes on a more accelerated timeframe. There continues to be a lack of consistent climate legislation, which creates economic and regulatory uncertainty. Such regulatory uncertainty extends to future incentives for energy efficient buildings and vehicles and costs of compliance, which may impact the demand for our products, obsolescence of our products and our results of operations.",,,,
2,opp,"We want to contribute to the transition to a circular economy. The linear economy is not sustainable. We discard a great deal (waste and therefore raw materials, experience, social capital and knowledge) and are squandering value as a result. This is not tenable from an economic and ecological perspective. As investor we can ‘direct’ companies and with our network, our scale and our influence we can help the movement towards a circular future (creating a sustainable society) further along.",,,,
0,risk,"The Group and its customers are exposed to climate related events, including climate change. These events include severe storms, drought, fires, cyclones, hurricanes, floods and rising sea levels. The Group and its customers may also be exposed to other events such as geological events (including volcanic seismic activity or tsunamis), plant and animal diseases or a pandemic.",,,,
0,risk,"Climate change is a challenge faced by the entire P&C insurance industry. In particular, our home insurance business has been affected due to changing climate patterns and an increase in the number and cost of claims associated with severe storms. Water damages now make up more than half of our home insurance claims.",,,,
0,risk,"Sustainability: The Group is subject to stringent and evolving laws, regulations, standards and best practices in the area of sustainability (comprising corporate governance, environmental management and climate change (specifically capping of emissions), health and safety management and social performance) which may give rise to increased ongoing remediation and/or other compliance costs and may adversely affect the Group’s business, results of operations, financial condition and/or prospects.",,,,
0,risk,"Environmental risk Environmental risk is the risk of loss to financial, operational or reputational value resulting from the impact of environmental issues. It arises from the business activities and operations of both us and our clients. For example, the environmental issues associated with our clients’ purchase and sale of contaminated property or development of large-scale projects may give rise to credit, regulatory and reputation risk. Operational and legal risks may arise from environmental issues at our branches, offices or data processing centres.",,,,
0,risk,"We recognise that global warming is an existential threat to humanity and one that we collectively can take steps to address. However, this is not a simple issue and we wish to take action that both meets our legislative requirements and is effective. We note that carbon dioxide produced from coal is not the only, or even the most potent, source of greenhouse gas emissions. Any company that sources energy from coal fired (or gas fired for that matter) energy generation is to some extent complicit in and contributing to the problem. This also extends to governments that do not regulate or factor in the costs from the damage that greenhouse gas emissions cause. As such, the list of contributors to the problem extends to almost the full range of our potential investment universe. Further, shutting down all coal supplies to coal fired power plants overnight would cause blackouts in many countries around the world and severely affect energy infrastructure. Electric grid systems that can only manage with a high percentage of base load power are another contributing factor.",,,,
2,opp,"Dominion East Ohio Pipeline Infrastructure Replacement Program In 2008, our local natural gas distribution company serving 1.2 million customer accounts in Ohio began replacing bare steel, cast iron, wrought iron and copper pipe. Over the next 20 years, we plan to spend at least $160 million annually—also recovered in customer rates—to both replace aging pipes and reduce methane emissions into the air.",,,,
2,opp,"South West Water has maintained its investment in renewable energy, bringing the total expenditure for K5 to over £4 million. This has included the installation of the company’s largest solar panel array to date at its Exeter headquarters. Along with hydro generation, combined heat and power (CHP) and the wind turbine at Lowermoor Water Treatment Works, South West Water’s 34 solar panel schemes now bring the total capacity for renewable energy generation to over 10MW.",,,,
2,opp,"The EBRD provided a total of €98 million to finance windfarm projects in Poland and invested 14 billion tenge (€63 million equivalent) in a wind farm in Kazakhstan, considered a highly promising country for renewable energy development. The Bank signed wind and solar energy projects in Romania and financed the construction of a new hydropower plant in Georgia that will be one of the country’s few privately owned, greenfield hydropower plants.",,,,
2,opp,(€165 million equivalent) loan to finance the construction of a high-efficiency combined-cycle gas turbine (CCGT) power plant near the city of Kirikkale in Turkey. The loan is part of a US$ 1 billion (€823 million equivalent) package arranged by the EBRD that brings together international financial institutions and commercial banks.,,,,
2,opp,"Romania’s OMV Petrom SA. The project will result in considerable water savings and carbon emission reductions. In Georgia, meanwhile, a US$ 40 million (€33 million equivalent) loan was provided to support the expansion of gas filling stations that offer compressed natural gas (CNG), an environmentally friendly alternative to conventional fuels.",,,,
2,opp,"We also invested €4.3 million in energy efficiency projects which reduced energy consumption by 300 million MJ. Projects that contributed to this achievement include cooling improvements in eight countries, improvements in lighting efficiency in 12 countries, electrical power optimisation in three countries and heat recovery from ground water in Hungary. Air and steam leakage prevention programmes were also implemented at all 66 of our production sites during the year.",,,,
